ID;Time;X-Axis;Y-Axis;Z-Axis
1;29/12/2022, 11:28:45,328;0,0266004111617804;-0,215498879551888;-0,976141691207886
2;29/12/2022, 11:28:45,338;0,0265924148261547;-0,215495362877846;-0,976142704486847
3;29/12/2022, 11:28:46,342;0,0263885036110878;-0,215329140424728;-0,976184904575348
4;29/12/2022, 11:28:47,344;0,0261589214205742;-0,214996382594109;-0,976264417171478
5;29/12/2022, 11:28:48,345;0,0260354783385992;-0,214785575866699;-0,976314127445221
6;29/12/2022, 11:28:49,347;0,0258853901177645;-0,214692324399948;-0,976338624954224
7;29/12/2022, 11:28:50,349;0,0257967170327902;-0,214451730251312;-0,97639387845993
8;29/12/2022, 11:28:51,351;0,0255966559052467;-0,2143594622612;-0,976419389247894
9;29/12/2022, 11:28:52,661;0,0255178119987249;-0,214365005493164;-0,976420223712921
10;29/12/2022, 11:28:53,658;0,0254665017127991;-0,214384213089943;-0,976417362689972
11;29/12/2022, 11:28:54,655;0,0255386009812355;-0,214415654540062;-0,97640860080719
12;29/12/2022, 11:28:55,652;0,0255257841199636;-0,214447140693665;-0,97640198469162
13;29/12/2022, 11:28:56,648;0,0254025422036648;-0,214520812034607;-0,976389050483704
14;29/12/2022, 11:28:57,645;0,0254206247627735;-0,214394360780716;-0,976416349411011
15;29/12/2022, 11:28:58,642;0,0253951493650675;-0,214386060833931;-0,976418793201446
16;29/12/2022, 11:28:59,638;0,0253687128424644;-0,214293852448463;-0,976439714431763
17;29/12/2022, 11:29:00,635;0,0254456531256437;-0,214119493961334;-0,976476013660431
18;29/12/2022, 11:29:01,632;0,0257517006248236;-0,214031547307968;-0,976487278938294
19;29/12/2022, 11:29:02,629;0,0257849153131247;-0,214144647121429;-0,976461589336395
20;29/12/2022, 11:29:03,625;0,0258057527244091;-0,214249506592751;-0,976438045501709
21;29/12/2022, 11:29:04,622;0,0259249787777662;-0,21408075094223;-0,976471900939941
22;29/12/2022, 11:29:05,625;0,0260486584156752;-0,213938385248184;-0,976499795913696
23;29/12/2022, 11:29:06,614;0,0260106846690178;-0,213950768113136;-0,976498067378998
24;29/12/2022, 11:29:07,611;0,0257673673331738;-0,213952541351318;-0,976504147052765
25;29/12/2022, 11:29:08,608;0,0256385840475559;-0,2139543145895;-0,976507127285004
26;29/12/2022, 11:29:09,606;0,0255837589502335;-0,21375598013401;-0,97655200958252
27;29/12/2022, 11:29:10,602;0,0255231745541096;-0,213680416345596;-0,976570129394531
28;29/12/2022, 11:29:11,599;0,0256196670234203;-0,213572427630424;-0,976591229438782
29;29/12/2022, 11:29:12,596;0,025796465575695;-0,213279128074646;-0,976650655269623
