lewe;srodek;prawo;promien;promien zew;10;;;;;;;;;;;;;;;;;;;;
0,77;0,61;0,66;8,7;pr0mien wew;2;;;;;;;;;;;;;;;;mi©dzy kropkami [m];;;;
1,4;1,11;1,3;8;;;;;;0,88;1,69;2,57;3,43;4,12;4,89;5,79;6,62;7,32;8,14;8,88;;MALA;DUZA;;;
2;1,66;1,97;7,2;;;;;;;;;;;;;;;;;;0,01;0,02;;;
2,74;2,27;2,68;6,5;;;;;;;;;;;;;;;;;;w bok;w dol;;;
3,45;3,06;3,48;5,8;;;;;;;;;;;;;;;;;;;;;;
4,32;3,92;4,34;5,1;;;;;;;;;;;;;;;;;;;;;;
5,41;4,85;5,28;4,3;;;;;;0,79;1,72;2,55;3,3;4,15;5;5,87;6,62;7,42;8,16;8,98;;caly bok;w dol;;;
6,57;6,05;6,51;3,5;;;;;;;;;;;;;;;;;;0,12;;;;
8,09;7,95;8,11;2,7;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0,94;1,67;2,4;3,16;3,97;4,73;5,5;6,35;7,12;7,84;8,66;;;;;;
odleglosc od pierscienia zewnetrznego;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;1,1;1,82;2,6;3,34;4,01;4,77;5,47;6,13;6,85;7,51;8,17;;;;;;
;;;;;;;;;1,37;2,05;2,81;3,38;4,05;4,75;5,4;6,09;6,7;7,41;8,01;;;;;;
;;;;;;;;;1,63;2,32;2,92;3,44;4,04;4,74;5,34;5,94;6,59;7,1;7,81;;;;;;
;;;0,59;0,61;0,63;0,73;0,93;1,41;1,9;2,56;3,14;3,5;4,13;4,7;5,28;5,87;6,44;6,98;7,51;8;8,35;8,6;8,82;8,85;8,87
;;;0,68;0,74;0,82;0,97;1,24;1,63;2;2,5;3;3,62;4,17;4,71;5,3;5,85;6,22;6,88;7,37;7,75;8,11;8,34;8,6;8,72;8,8
;;;0,78;0,86;0,97;1,15;1,42;1,74;2,11;2,63;3,11;3,65;4,18;4,71;5,22;5,8;6,19;6,75;7,21;7,63;7,97;8,22;8,44;8,51;8,68
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;7,33;14,08;21,42;28,58;34,33;40,75;48,25;55,17;61,00;67,83;74,00;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;6,58;14,33;21,25;27,50;34,58;41,67;48,92;55,17;61,83;68,00;74,83;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;7,83;13,92;20,00;26,33;33,08;39,42;45,83;52,92;59,33;65,33;72,17;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
