    (hkl)=   0  0  1       using:   plate
Parameter   o1= 1.1264    o2= 0.0000


   Reflex Nr.   1   Multiplizität=   4
   h   k   l         phi-bogen    phi-grad           O
----------------------------------------------------------
   1   1   0          1.571         90.000          1.195
  -1  -1   0          1.571         90.000          1.195
  -1   1   0          1.571         90.000          1.195
   1  -1   0          1.571         90.000          1.195
   Gesamte Multiplizität=                           4.782

   Reflex Nr.   2   Multiplizität=   8
   h   k   l         phi-bogen    phi-grad           O
----------------------------------------------------------
   1   0   1          0.572         32.787          0.803
  -1   0   1          0.572         32.787          0.803
   0   1   1          0.572         32.788          0.803
   0  -1   1          0.572         32.788          0.803
  -1   0  -1          0.572         32.787          0.803
   1   0  -1          0.572         32.787          0.803
   0   1  -1          0.572         32.788          0.803
   0  -1  -1          0.572         32.788          0.803
   Gesamte Multiplizität=                           6.428

   Reflex Nr.   3   Multiplizität=   4
   h   k   l         phi-bogen    phi-grad           O
----------------------------------------------------------
   2   0   0          1.571         90.000          1.195
  -2   0   0          1.571         90.000          1.195
   0   2   0          1.571         90.000          1.195
   0  -2   0          1.571         90.000          1.195
   Gesamte Multiplizität=                           4.782

   Reflex Nr.   4   Multiplizität=   8
   h   k   l         phi-bogen    phi-grad           O
----------------------------------------------------------
   1   1   1          0.739         42.332          0.872
  -1  -1   1          0.739         42.332          0.872
  -1   1   1          0.739         42.332          0.872
   1  -1   1          0.739         42.332          0.872
  -1   1  -1          0.739         42.332          0.872
   1  -1  -1          0.739         42.332          0.872
   1   1  -1          0.739         42.332          0.872
  -1  -1  -1          0.739         42.332          0.872
   Gesamte Multiplizität=                           6.972

   Reflex Nr.   5   Multiplizität=   8
   h   k   l         phi-bogen    phi-grad           O
----------------------------------------------------------
   2   1   0          1.571         90.000          1.195
  -2  -1   0          1.571         90.000          1.195
  -1   2   0          1.571         90.000          1.195
   1  -2   0          1.571         90.000          1.195
  -2   1   0          1.571         90.000          1.195
   2  -1   0          1.571         90.000          1.195
   1   2   0          1.571         90.000          1.195
  -1  -2   0          1.571         90.000          1.195
   Gesamte Multiplizität=                           9.564

   Reflex Nr.   6   Multiplizität=  16
   h   k   l         phi-bogen    phi-grad           O
----------------------------------------------------------
   2   1   1          0.964         55.229          0.983
  -2  -1   1          0.964         55.229          0.983
  -1   2   1          0.964         55.229          0.983
   1  -2   1          0.964         55.229          0.983
  -2   1  -1          0.964         55.229          0.983
   2  -1  -1          0.964         55.229          0.983
   1   2  -1          0.964         55.229          0.983
  -1  -2  -1          0.964         55.229          0.983
  -2  -1  -1          0.964         55.229          0.983
   2   1  -1          0.964         55.229          0.983
   1  -2  -1          0.964         55.229          0.983
  -1   2  -1          0.964         55.229          0.983
   2  -1   1          0.964         55.229          0.983
  -2   1   1          0.964         55.229          0.983
  -1  -2   1          0.964         55.229          0.983
   1   2   1          0.964         55.229          0.983
   Gesamte Multiplizität=                          15.723

   Reflex Nr.   7   Multiplizität=   4
   h   k   l         phi-bogen    phi-grad           O
----------------------------------------------------------
   2   2   0          1.571         90.000          1.195
  -2  -2   0          1.571         90.000          1.195
  -2   2   0          1.571         90.000          1.195
   2  -2   0          1.571         90.000          1.195
   Gesamte Multiplizität=                           4.782

   Summe aller unkorrigierten Multiplizitäten  =   52.000
   Summe aller effektiven Multiplizitäten      =   53.033
   Faktor fuer effektive Multiplizitäten       =    0.981
