         Cr      Mn      Fe      Co      Ni      Cu    Zr  Nb     Mo      Ag    W
1       0.091   0.085   0.081   0.078   0.075   0.073  0   0     0.064   0.062  0
2       0.540   0.448   0.378   0.326   0.286   0.255  0   0     0.138   0.129  0
3       2.26    1.79    1.44    1.18    0.980   0.825  0   0     0.250   0.215  0
4       6.73    5.28    4.18    3.36    2.73    2.24   0   0     0.446   0.343  0
5      13.3    10.3     8.16    6.52    5.26    4.29   0   0     0.704   0.501  0
6      29.0    22.5    17.7    14.1    11.3     9.17   0   0     1.25    0.798  0
7      55.7    43.3    34.0    27.0    21.6    17.5    0   0     2.13    1.26   0
8      97.2    75.6    59.4    47.2    37.8    30.5    0   0     3.49    1.97   0
9     165     129     101      80.2    64.2    51.8    0   0     5.68    3.08   0
10    244     190     150     119      95.0    76.7    0   0     8.28    4.40   0
11    364     284     224     178     142     115      0   0    12.2     6.39   0        
12    489     383     302     240     193     156      0   0    16.6     8.57   0
13    680     533     421     335     269     218      0   0    23.1    11.9    0
14    879     690     545     435     349     283      0   0    30.0    15.3    0
15   1180     924     732     585     470     381      0   0    40.6    20.6    0
16   1450    1140     907     725     585     474      0   0    50.8    25.8    0
17   1870    1480    1180     946     764     621      0   0    67.1    34.0    0
18   2430    1930    1540    1240    1000     817      0   0    89.3    45.2    0
19   2700    2160    1730    1400    1130     925      0   0   102      51.9    0
20   3080    2470    1990    1610    1320    1080      0   0   122      61.7    0
21   3830    3090    2510    2040    1670    1370      0   0   157      79.8    0
22   4540    3680    3000    2450    2010    1650      0   0   192      97.8    0
23    578    4340    3540    2910    2390    1970      0   0   233     118      0
24    689     538    4000    3290    2710    2240      0   0   268     137      0
25    848     662     522    3770    3130    2600      0   0   316     162      0
26   1000     781     616     490    3430    2860      0   0   357     183      0
27   1220     953     752     598     480    3240      0   0   416     214      0
28   1400    1090     863     687     551     445      0   0   454     234      0
29   1750    1370    1080     861     691     558      0   0   537     278      0
30   2050    1610    1270    1010     810     655      0   0   602     313      0
31   2450    1920    1520    1210     971     785      0   0   695     363      0
32   2830    2220    1760    1400    1130     911      0   0   781     411      0
33   3210    2520    1990    1590    1280    1040      0   0   867     458      0
34   3690    2900    2300    1840    1480    1200      0   0   980     521      0
35   4040    3180    2530    2020    1630    1320      0   0  1060     567      0
36   4560    3600    2860    2290    1850    1500      0   0  1180     637      0
37   4980    3940    3140    2520    2030    1650      0   0  1280     694      0
38   5430    4310    3440    2770    2240    1820      0   0  1380     757      0
39   5850    4650    3720    3000    2430    1980      0   0  1480     816      0
40   6340    5060    4060    3280    2660    2170      0   0   241     885      0
