keV	cps	count
 0.000	   0.000	       0
 0.020	   0.000	       0
 0.040	   0.000	       0
 0.060	   0.000	       0
 0.080	   0.000	       0
 0.100	   0.000	       0
 0.120	   0.000	       0
 0.140	   0.000	       0
 0.160	   0.000	       0
 0.180	   0.000	       0
 0.200	   0.000	       0
 0.220	   0.000	       0
 0.240	   0.000	       0
 0.260	   0.000	       0
 0.280	   0.000	       0
 0.300	   0.000	       0
 0.320	   0.000	       0
 0.340	   0.000	       0
 0.360	   0.000	       0
 0.380	   0.000	       0
 0.400	   0.000	       0
 0.420	   0.000	       0
 0.440	   0.000	       0
 0.460	   0.000	       0
 0.480	   0.177	      22
 0.500	   0.056	       7
 0.520	   0.201	      25
 0.540	   0.136	      17
 0.560	   0.128	      16
 0.580	   0.056	       7
 0.600	   0.185	      23
 0.620	   0.128	      16
 0.640	   0.088	      11
 0.660	   0.152	      19
 0.680	   0.112	      14
 0.700	   0.152	      19
 0.720	   0.144	      18
 0.740	   0.136	      17
 0.760	   0.096	      12
 0.780	   0.088	      11
 0.800	   0.112	      14
 0.820	   0.152	      19
 0.840	   0.177	      22
 0.860	   0.169	      21
 0.880	   0.161	      20
 0.900	   0.209	      26
 0.920	   0.193	      24
 0.940	   0.209	      26
 0.960	   0.088	      11
 0.980	   0.233	      29
 1.000	   0.209	      26
 1.010	   0.128	      16
 1.030	   0.257	      32
 1.050	   0.289	      36
 1.070	   0.273	      34
 1.090	   0.297	      37
 1.110	   0.321	      40
 1.130	   0.225	      28
 1.150	   0.345	      43
 1.170	   0.297	      37
 1.190	   0.353	      44
 1.210	   0.345	      43
 1.230	   0.289	      36
 1.250	   0.313	      39
 1.270	   0.425	      53
 1.290	   0.457	      57
 1.310	   0.473	      59
 1.330	   0.409	      51
 1.350	   0.449	      56
 1.370	   0.417	      52
 1.390	   0.498	      62
 1.410	   0.498	      62
 1.430	   0.329	      41
 1.450	   0.514	      64
 1.470	   0.409	      51
 1.490	   0.570	      71
 1.510	   0.401	      50
 1.530	   0.506	      63
 1.550	   0.522	      65
 1.570	   0.538	      67
 1.590	   0.642	      80
 1.610	   0.490	      61
 1.630	   0.554	      69
 1.650	   0.538	      67
 1.670	   0.610	      76
 1.690	   0.441	      55
 1.710	   0.618	      77
 1.730	   0.674	      84
 1.750	   0.618	      77
 1.770	   0.618	      77
 1.790	   0.610	      76
 1.810	   0.714	      89
 1.830	   0.514	      64
 1.850	   0.506	      63
 1.870	   0.578	      72
 1.890	   0.473	      59
 1.910	   0.578	      72
 1.930	   0.666	      83
 1.950	   0.658	      82
 1.970	   0.538	      67
 1.990	   0.642	      80
 2.010	   0.554	      69
 2.030	   0.465	      58
 2.050	   0.690	      86
 2.070	   0.522	      65
 2.090	   0.570	      71
 2.110	   0.554	      69
 2.130	   0.610	      76
 2.150	   0.618	      77
 2.170	   0.578	      72
 2.190	   0.594	      74
 2.210	   0.465	      58
 2.230	   0.522	      65
 2.250	   0.602	      75
 2.270	   0.722	      90
 2.290	   0.786	      98
 2.310	   0.618	      77
 2.330	   0.578	      72
 2.350	   0.594	      74
 2.370	   0.626	      78
 2.390	   0.762	      95
 2.410	   0.786	      98
 2.430	   0.530	      66
 2.450	   0.698	      87
 2.470	   0.570	      71
 2.490	   0.634	      79
 2.510	   0.594	      74
 2.530	   0.498	      62
 2.550	   0.562	      70
 2.570	   0.570	      71
 2.590	   0.666	      83
 2.610	   0.634	      79
 2.630	   0.449	      56
 2.650	   0.578	      72
 2.670	   0.586	      73
 2.690	   0.666	      83
 2.710	   0.594	      74
 2.730	   0.514	      64
 2.750	   0.522	      65
 2.770	   0.634	      79
 2.790	   0.514	      64
 2.810	   0.634	      79
 2.830	   0.666	      83
 2.850	   0.578	      72
 2.870	   0.658	      82
 2.890	   0.642	      80
 2.910	   0.650	      81
 2.930	   0.682	      85
 2.950	   0.682	      85
 2.970	   0.738	      92
 2.990	   0.562	      70
 3.010	   0.650	      81
 3.031	   0.754	      94
 3.051	   0.698	      87
 3.071	   0.578	      72
 3.091	   0.610	      76
 3.111	   0.722	      90
 3.131	   0.706	      88
 3.151	   0.490	      61
 3.171	   0.562	      70
 3.191	   0.546	      68
 3.211	   0.674	      84
 3.231	   0.562	      70
 3.251	   0.498	      62
 3.271	   0.706	      88
 3.291	   0.650	      81
 3.311	   0.570	      71
 3.331	   0.538	      67
 3.351	   0.594	      74
 3.371	   0.618	      77
 3.391	   0.506	      63
 3.411	   0.634	      79
 3.431	   0.730	      91
 3.451	   0.618	      77
 3.471	   0.770	      96
 3.491	   0.979	     122
 3.511	   0.899	     112
 3.531	   0.706	      88
 3.551	   0.867	     108
 3.571	   1.164	     145
 3.591	   0.786	      98
 3.611	   0.987	     123
 3.631	   1.268	     158
 3.651	   1.260	     157
 3.671	   1.124	     140
 3.691	   1.196	     149
 3.711	   1.091	     136
 3.731	   1.091	     136
 3.751	   1.067	     133
 3.771	   0.899	     112
 3.791	   1.027	     128
 3.811	   0.867	     108
 3.831	   0.730	      91
 3.851	   0.770	      96
 3.871	   0.642	      80
 3.891	   0.642	      80
 3.911	   0.762	      95
 3.931	   0.610	      76
 3.951	   0.578	      72
 3.971	   0.642	      80
 3.991	   0.626	      78
 4.011	   0.570	      71
 4.031	   0.642	      80
 4.051	   0.666	      83
 4.071	   0.730	      91
 4.091	   0.827	     103
 4.111	   0.746	      93
 4.131	   0.730	      91
 4.151	   0.746	      93
 4.171	   0.674	      84
 4.191	   0.634	      79
 4.211	   0.843	     105
 4.231	   0.762	      95
 4.251	   0.891	     111
 4.271	   0.770	      96
 4.291	   0.714	      89
 4.311	   0.730	      91
 4.331	   0.706	      88
 4.351	   0.770	      96
 4.371	   0.786	      98
 4.391	   0.730	      91
 4.411	   0.891	     111
 4.431	   1.059	     132
 4.451	   1.067	     133
 4.471	   1.268	     158
 4.491	   1.348	     168
 4.511	   1.525	     190
 4.531	   1.918	     239
 4.551	   1.766	     220
 4.571	   1.782	     222
 4.591	   2.030	     253
 4.611	   2.295	     286
 4.631	   2.343	     292
 4.651	   2.038	     254
 4.671	   2.416	     301
 4.691	   2.247	     280
 4.711	   2.399	     299
 4.731	   1.854	     231
 4.751	   1.894	     236
 4.771	   1.709	     213
 4.791	   1.757	     219
 4.811	   1.525	     190
 4.831	   1.701	     212
 4.851	   1.533	     191
 4.871	   1.701	     212
 4.891	   1.340	     167
 4.911	   1.380	     172
 4.931	   1.477	     184
 4.951	   1.388	     173
 4.971	   1.549	     193
 4.991	   1.677	     209
 5.011	   1.685	     210
 5.031	   2.030	     253
 5.051	   2.456	     306
 5.071	   2.720	     339
 5.091	   3.916	     488
 5.111	   5.377	     670
 5.131	   7.704	     960
 5.151	  10.465	    1304
 5.171	  14.911	    1858
 5.191	  20.392	    2541
 5.211	  26.699	    3327
 5.231	  36.450	    4542
 5.251	  46.136	    5749
 5.271	  58.013	    7229
 5.291	  70.789	    8821
 5.311	  84.215	   10494
 5.331	  96.589	   12036
 5.351	 105.337	   13126
 5.372	 115.384	   14378
