keV	cps	count
 0.000	   0.000	       0
 0.020	   0.000	       0
 0.040	   0.000	       0
 0.060	   0.000	       0
 0.080	   0.000	       0
 0.100	   0.000	       0
 0.120	   0.000	       0
 0.140	   0.000	       0
 0.160	   0.000	       0
 0.180	   0.000	       0
 0.200	   0.000	       0
 0.220	   0.000	       0
 0.240	   0.000	       0
 0.260	   0.000	       0
 0.280	   0.000	       0
 0.300	   0.000	       0
 0.320	   0.000	       0
 0.340	   0.000	       0
 0.360	   0.000	       0
 0.380	   0.000	       0
 0.400	   0.000	       0
 0.420	   0.000	       0
 0.440	   0.000	       0
 0.460	   0.000	       0
 0.480	   0.174	      22
 0.500	   0.190	      24
 0.520	   0.150	      19
 0.540	   0.174	      22
 0.560	   0.150	      19
 0.580	   0.142	      18
 0.600	   0.119	      15
 0.620	   0.245	      31
 0.640	   0.158	      20
 0.660	   0.142	      18
 0.680	   0.135	      17
 0.700	   0.119	      15
 0.720	   0.119	      15
 0.740	   0.127	      16
 0.760	   0.119	      15
 0.780	   0.087	      11
 0.800	   0.111	      14
 0.820	   0.063	       8
 0.840	   0.079	      10
 0.860	   0.087	      11
 0.880	   0.063	       8
 0.900	   0.095	      12
 0.920	   0.063	       8
 0.940	   0.103	      13
 0.960	   0.111	      14
 0.980	   0.119	      15
 1.000	   0.079	      10
 1.010	   0.055	       7
 1.030	   0.055	       7
 1.050	   0.071	       9
 1.070	   0.119	      15
 1.090	   0.142	      18
 1.110	   0.166	      21
 1.130	   0.127	      16
 1.150	   0.166	      21
 1.170	   0.198	      25
 1.190	   0.127	      16
 1.210	   0.095	      12
 1.230	   0.158	      20
 1.250	   0.174	      22
 1.270	   0.158	      20
 1.290	   0.174	      22
 1.310	   0.111	      14
 1.330	   0.166	      21
 1.350	   0.142	      18
 1.370	   0.119	      15
 1.390	   0.142	      18
 1.410	   0.174	      22
 1.430	   0.222	      28
 1.450	   0.174	      22
 1.470	   0.182	      23
 1.490	   0.190	      24
 1.510	   0.190	      24
 1.530	   0.166	      21
 1.550	   0.135	      17
 1.570	   0.214	      27
 1.590	   0.142	      18
 1.610	   0.206	      26
 1.630	   0.206	      26
 1.650	   0.253	      32
 1.670	   0.174	      22
 1.690	   0.214	      27
 1.710	   0.166	      21
 1.730	   0.214	      27
 1.750	   0.174	      22
 1.770	   0.214	      27
 1.790	   0.182	      23
 1.810	   0.198	      25
 1.830	   0.174	      22
 1.850	   0.229	      29
 1.870	   0.269	      34
 1.890	   0.229	      29
 1.910	   0.245	      31
 1.930	   0.269	      34
 1.950	   0.261	      33
 1.970	   0.245	      31
 1.990	   0.214	      27
 2.010	   0.222	      28
 2.030	   0.277	      35
 2.050	   0.277	      35
 2.070	   0.206	      26
 2.090	   0.237	      30
 2.110	   0.182	      23
 2.130	   0.253	      32
 2.150	   0.182	      23
 2.170	   0.301	      38
 2.190	   0.269	      34
 2.210	   0.269	      34
 2.230	   0.198	      25
 2.250	   0.285	      36
 2.270	   0.237	      30
 2.290	   0.253	      32
 2.310	   0.324	      41
 2.330	   0.237	      30
 2.350	   0.237	      30
 2.370	   0.214	      27
 2.390	   0.301	      38
 2.410	   0.245	      31
 2.430	   0.348	      44
 2.450	   0.285	      36
 2.470	   0.166	      21
 2.490	   0.190	      24
 2.510	   0.182	      23
 2.530	   0.269	      34
 2.550	   0.245	      31
 2.570	   0.245	      31
 2.590	   0.158	      20
 2.610	   0.253	      32
 2.630	   0.166	      21
 2.650	   0.285	      36
 2.670	   0.245	      31
 2.690	   0.332	      42
 2.710	   0.142	      18
 2.730	   0.222	      28
 2.750	   0.222	      28
 2.770	   0.198	      25
 2.790	   0.190	      24
 2.810	   0.301	      38
 2.830	   0.229	      29
 2.850	   0.277	      35
 2.870	   0.198	      25
 2.890	   0.190	      24
 2.910	   0.277	      35
 2.930	   0.229	      29
 2.950	   0.229	      29
 2.970	   0.190	      24
 2.990	   0.253	      32
 3.010	   0.158	      20
 3.031	   0.237	      30
 3.051	   0.245	      31
 3.071	   0.269	      34
 3.091	   0.237	      30
 3.111	   0.301	      38
 3.131	   0.222	      28
 3.151	   0.206	      26
 3.171	   0.237	      30
 3.191	   0.222	      28
 3.211	   0.316	      40
 3.231	   0.198	      25
 3.251	   0.174	      22
 3.271	   0.206	      26
 3.291	   0.237	      30
 3.311	   0.206	      26
 3.331	   0.214	      27
 3.351	   0.190	      24
 3.371	   0.206	      26
 3.391	   0.222	      28
 3.411	   0.229	      29
 3.431	   0.253	      32
 3.451	   0.237	      30
 3.471	   0.222	      28
 3.491	   0.198	      25
 3.511	   0.253	      32
 3.531	   0.150	      19
 3.551	   0.293	      37
 3.571	   0.190	      24
 3.591	   0.285	      36
 3.611	   0.237	      30
 3.631	   0.158	      20
 3.651	   0.237	      30
 3.671	   0.206	      26
 3.691	   0.182	      23
 3.711	   0.237	      30
 3.731	   0.222	      28
 3.751	   0.301	      38
 3.771	   0.229	      29
 3.791	   0.222	      28
 3.811	   0.237	      30
 3.831	   0.142	      18
 3.851	   0.174	      22
 3.871	   0.150	      19
 3.891	   0.214	      27
 3.911	   0.174	      22
 3.931	   0.158	      20
 3.951	   0.253	      32
 3.971	   0.261	      33
 3.991	   0.198	      25
 4.011	   0.222	      28
 4.031	   0.245	      31
 4.051	   0.174	      22
 4.071	   0.261	      33
 4.091	   0.174	      22
 4.111	   0.174	      22
 4.131	   0.190	      24
 4.151	   0.198	      25
 4.171	   0.198	      25
 4.191	   0.158	      20
 4.211	   0.214	      27
 4.231	   0.174	      22
 4.251	   0.095	      12
 4.271	   0.237	      30
 4.291	   0.277	      35
 4.311	   0.174	      22
 4.331	   0.206	      26
 4.351	   0.356	      45
 4.371	   0.135	      17
 4.391	   0.229	      29
 4.411	   0.229	      29
 4.431	   0.245	      31
 4.451	   0.285	      36
 4.471	   0.269	      34
 4.491	   0.206	      26
 4.511	   0.229	      29
 4.531	   0.277	      35
 4.551	   0.301	      38
 4.571	   0.166	      21
 4.591	   0.285	      36
 4.611	   0.348	      44
 4.631	   0.324	      41
 4.651	   0.285	      36
 4.671	   0.324	      41
 4.691	   0.404	      51
 4.711	   0.372	      47
 4.731	   0.348	      44
 4.751	   0.237	      30
 4.771	   0.332	      42
 4.791	   0.285	      36
 4.811	   0.309	      39
 4.831	   0.253	      32
 4.851	   0.269	      34
 4.871	   0.348	      44
 4.891	   0.229	      29
 4.911	   0.245	      31
 4.931	   0.245	      31
 4.951	   0.206	      26
 4.971	   0.309	      39
 4.991	   0.277	      35
 5.011	   0.253	      32
 5.031	   0.158	      20
 5.051	   0.309	      39
 5.071	   0.316	      40
 5.091	   0.135	      17
 5.111	   0.229	      29
 5.131	   0.316	      40
 5.151	   0.222	      28
 5.171	   0.269	      34
 5.191	   0.316	      40
 5.211	   0.293	      37
 5.231	   0.245	      31
 5.251	   0.261	      33
 5.271	   0.245	      31
 5.291	   0.214	      27
 5.311	   0.340	      43
 5.331	   0.269	      34
 5.351	   0.245	      31
 5.372	   0.269	      34
 5.392	   0.293	      37
