keV	cps	count
 0.000	   0.000	       0
 0.020	   0.000	       0
 0.040	   0.000	       0
 0.060	   0.000	       0
 0.080	   0.000	       0
 0.100	   0.000	       0
 0.120	   0.000	       0
 0.140	   0.000	       0
 0.160	   0.000	       0
 0.180	   0.000	       0
 0.200	   0.000	       0
 0.220	   0.000	       0
 0.240	   0.000	       0
 0.260	   0.000	       0
 0.280	   0.000	       0
 0.300	   0.000	       0
 0.320	   0.000	       0
 0.340	   0.000	       0
 0.360	   0.000	       0
 0.380	   0.000	       0
 0.400	   0.000	       0
 0.420	   0.000	       0
 0.440	   0.000	       0
 0.460	   0.000	       0
 0.480	   0.165	      21
 0.500	   0.142	      18
 0.520	   0.142	      18
 0.540	   0.110	      14
 0.560	   0.118	      15
 0.580	   0.087	      11
 0.600	   0.071	       9
 0.620	   0.063	       8
 0.640	   0.134	      17
 0.660	   0.150	      19
 0.680	   0.055	       7
 0.700	   0.079	      10
 0.720	   0.087	      11
 0.740	   0.071	       9
 0.760	   0.079	      10
 0.780	   0.055	       7
 0.800	   0.110	      14
 0.820	   0.126	      16
 0.840	   0.094	      12
 0.860	   0.110	      14
 0.880	   0.055	       7
 0.900	   0.087	      11
 0.920	   0.031	       4
 0.940	   0.094	      12
 0.960	   0.110	      14
 0.980	   0.102	      13
 1.000	   0.079	      10
 1.010	   0.087	      11
 1.030	   0.118	      15
 1.050	   0.071	       9
 1.070	   0.079	      10
 1.090	   0.126	      16
 1.110	   0.110	      14
 1.130	   0.134	      17
 1.150	   0.157	      20
 1.170	   0.150	      19
 1.190	   0.126	      16
 1.210	   0.110	      14
 1.230	   0.197	      25
 1.250	   0.094	      12
 1.270	   0.197	      25
 1.290	   0.126	      16
 1.310	   0.142	      18
 1.330	   0.118	      15
 1.350	   0.157	      20
 1.370	   0.110	      14
 1.390	   0.110	      14
 1.410	   0.181	      23
 1.430	   0.102	      13
 1.450	   0.197	      25
 1.470	   0.118	      15
 1.490	   0.236	      30
 1.510	   0.181	      23
 1.530	   0.220	      28
 1.550	   0.236	      30
 1.570	   0.157	      20
 1.590	   0.220	      28
 1.610	   0.197	      25
 1.630	   0.118	      15
 1.650	   0.260	      33
 1.670	   0.165	      21
 1.690	   0.205	      26
 1.710	   0.220	      28
 1.730	   0.213	      27
 1.750	   0.236	      30
 1.770	   0.181	      23
 1.790	   0.299	      38
 1.810	   0.260	      33
 1.830	   0.244	      31
 1.850	   0.213	      27
 1.870	   0.189	      24
 1.890	   0.197	      25
 1.910	   0.228	      29
 1.930	   0.110	      14
 1.950	   0.236	      30
 1.970	   0.173	      22
 1.990	   0.236	      30
 2.010	   0.173	      22
 2.030	   0.173	      22
 2.050	   0.244	      31
 2.070	   0.181	      23
 2.090	   0.213	      27
 2.110	   0.189	      24
 2.130	   0.213	      27
 2.150	   0.236	      30
 2.170	   0.165	      21
 2.190	   0.189	      24
 2.210	   0.220	      28
 2.230	   0.205	      26
 2.250	   0.228	      29
 2.270	   0.252	      32
 2.290	   0.142	      18
 2.310	   0.213	      27
 2.330	   0.236	      30
 2.350	   0.134	      17
 2.370	   0.252	      32
 2.390	   0.276	      35
 2.410	   0.236	      30
 2.430	   0.213	      27
 2.450	   0.236	      30
 2.470	   0.228	      29
 2.490	   0.165	      21
 2.510	   0.173	      22
 2.530	   0.189	      24
 2.550	   0.236	      30
 2.570	   0.228	      29
 2.590	   0.213	      27
 2.610	   0.181	      23
 2.630	   0.173	      22
 2.650	   0.205	      26
 2.670	   0.142	      18
 2.690	   0.181	      23
 2.710	   0.189	      24
 2.730	   0.236	      30
 2.750	   0.260	      33
 2.770	   0.087	      11
 2.790	   0.260	      33
 2.810	   0.205	      26
 2.830	   0.220	      28
 2.850	   0.150	      19
 2.870	   0.197	      25
 2.890	   0.299	      38
 2.910	   0.157	      20
 2.930	   0.228	      29
 2.950	   0.236	      30
 2.970	   0.268	      34
 2.990	   0.181	      23
 3.010	   0.268	      34
 3.031	   0.228	      29
 3.051	   0.150	      19
 3.071	   0.134	      17
 3.091	   0.283	      36
 3.111	   0.205	      26
 3.131	   0.197	      25
 3.151	   0.150	      19
 3.171	   0.346	      44
 3.191	   0.150	      19
 3.211	   0.244	      31
 3.231	   0.157	      20
 3.251	   0.220	      28
 3.271	   0.213	      27
 3.291	   0.173	      22
 3.311	   0.244	      31
 3.331	   0.197	      25
 3.351	   0.260	      33
 3.371	   0.228	      29
 3.391	   0.205	      26
 3.411	   0.189	      24
 3.431	   0.276	      35
 3.451	   0.220	      28
 3.471	   0.173	      22
 3.491	   0.118	      15
 3.511	   0.244	      31
 3.531	   0.260	      33
 3.551	   0.236	      30
 3.571	   0.181	      23
 3.591	   0.213	      27
 3.611	   0.244	      31
 3.631	   0.157	      20
 3.651	   0.181	      23
 3.671	   0.150	      19
 3.691	   0.244	      31
 3.711	   0.244	      31
 3.731	   0.213	      27
 3.751	   0.150	      19
 3.771	   0.165	      21
 3.791	   0.181	      23
 3.811	   0.173	      22
 3.831	   0.220	      28
 3.851	   0.173	      22
 3.871	   0.205	      26
 3.891	   0.197	      25
 3.911	   0.339	      43
 3.931	   0.197	      25
 3.951	   0.189	      24
 3.971	   0.220	      28
 3.991	   0.173	      22
 4.011	   0.252	      32
 4.031	   0.126	      16
 4.051	   0.213	      27
 4.071	   0.220	      28
 4.091	   0.118	      15
 4.111	   0.173	      22
 4.131	   0.189	      24
 4.151	   0.189	      24
 4.171	   0.213	      27
 4.191	   0.173	      22
 4.211	   0.220	      28
 4.231	   0.220	      28
 4.251	   0.189	      24
 4.271	   0.205	      26
 4.291	   0.252	      32
 4.311	   0.165	      21
 4.331	   0.110	      14
 4.351	   0.220	      28
 4.371	   0.181	      23
 4.391	   0.252	      32
 4.411	   0.205	      26
 4.431	   0.173	      22
 4.451	   0.268	      34
 4.471	   0.228	      29
 4.491	   0.236	      30
 4.511	   0.291	      37
 4.531	   0.205	      26
 4.551	   0.213	      27
 4.571	   0.236	      30
 4.591	   0.213	      27
 4.611	   0.173	      22
 4.631	   0.228	      29
 4.651	   0.220	      28
 4.671	   0.228	      29
 4.691	   0.189	      24
 4.711	   0.228	      29
 4.731	   0.213	      27
 4.751	   0.205	      26
 4.771	   0.150	      19
 4.791	   0.244	      31
 4.811	   0.252	      32
 4.831	   0.205	      26
 4.851	   0.197	      25
 4.871	   0.268	      34
 4.891	   0.197	      25
 4.911	   0.299	      38
 4.931	   0.268	      34
 4.951	   0.189	      24
 4.971	   0.213	      27
 4.991	   0.165	      21
 5.011	   0.268	      34
 5.031	   0.260	      33
 5.051	   0.205	      26
 5.071	   0.283	      36
 5.091	   0.134	      17
 5.111	   0.244	      31
 5.131	   0.213	      27
 5.151	   0.197	      25
 5.171	   0.299	      38
 5.191	   0.189	      24
 5.211	   0.362	      46
 5.231	   0.236	      30
 5.251	   0.244	      31
 5.271	   0.236	      30
 5.291	   0.291	      37
 5.311	   0.228	      29
 5.331	   0.276	      35
 5.351	   0.291	      37
 5.372	   0.268	      34
 5.392	   0.260	      33
